user_id,event_timestamp,damage_taken
d7f1e9b2a4,2023-08-15 09:23:42,6
d7f1e9b2a4,2023-08-17 08:12:19,15
d7f1e9b2a4,2023-08-18 11:05:33,1
d7f1e9b2a4,2023-08-21 16:34:56,15
d7f1e9b2a4,2023-08-22 19:48:01,6
d7f1e9b2a4,2023-08-24 07:36:29,11
d7f1e9b2a4,2023-08-26 01:15:22,8
a2e4f8c6b0,2023-08-26 02:37:55,7
c5d8a9f1e2,2023-08-14 17:29:18,8
c5d8a9f1e2,2023-08-16 14:52:05,12
c5d8a9f1e2,2023-08-18 22:08:19,9
c5d8a9f1e2,2023-08-20 09:47:41,10
c5d8a9f1e2,2023-08-23 03:25:57,3
c5d8a9f1e2,2023-08-24 13:14:12,6
c5d8a9f1e2,2023-08-26 02:05:38,6
b6f2d5a8c0,2023-08-17 06:59:30,12
9e1a3c7f5b,2023-08-26 00:05:45,16
9e1a3c7f5b,2023-08-26 04:21:59,9
9e1a3c7f5b,2023-08-26 08:45:14,3
9e1a3c7f5b,2023-08-26 12:17:36,17
9e1a3c7f5b,2023-08-26 16:59:05,4
9e1a3c7f5b,2023-08-26 20:30:49,4
9e1a3c7f5b,2023-08-26 23:55:02,15
4d6a2f8c1e,2023-08-17 14:08:47,16
4d6a2f8c1e,2023-08-18 17:29:01,7
4d6a2f8c1e,2023-08-20 10:44:24,8
4d6a2f8c1e,2023-08-21 19:03:11,12
4d6a2f8c1e,2023-08-23 08:45:27,4
4d6a2f8c1e,2023-08-24 14:59:58,2
4d6a2f8c1e,2023-08-26 01:30:42,13
8b0e7f3c9a,2023-08-26 02:55:08,4
8b0e7f3c9a,2023-08-26 06:08:22,8
8b0e7f3c9a,2023-08-26 09:20:39,10
8b0e7f3c9a,2023-08-26 12:45:18,10
8b0e7f3c9a,2023-08-26 15:57:29,17
8b0e7f3c9a,2023-08-26 19:08:10,12
8b0e7f3c9a,2023-08-26 22:33:47,3
f1d5a7e0c9,2023-08-16 23:15:29,17
e2b9d4a6f8,2023-08-20 08:46:52,6
3a5c7e9b1d,2023-08-18 07:57:14,3
